Location description: Anemona
ID: 22
Sensor: Noise
Datetime,dB
2015-07-29 19:22:10+01:00,67.3
2015-07-29 19:21:10+01:00,70.4
2015-07-29 19:20:10+01:00,68.3
2015-07-29 19:19:10+01:00,65.3
2015-07-29 19:18:10+01:00,66.3
2015-07-29 19:17:10+01:00,72.5
2015-07-29 19:16:10+01:00,64.7
2015-07-29 19:15:10+01:00,68.9
2015-07-29 19:14:10+01:00,73.6
2015-07-29 19:13:10+01:00,69.3
2015-07-29 19:12:10+01:00,67.6
2015-07-29 19:11:10+01:00,70.0
2015-07-29 19:10:10+01:00,71.6
2015-07-29 19:09:10+01:00,69.7
2015-07-29 19:08:10+01:00,71.1
2015-07-29 19:07:10+01:00,68.4
2015-07-29 19:06:10+01:00,63.5
2015-07-29 19:05:10+01:00,69.3
2015-07-29 19:04:10+01:00,68.9
2015-07-29 19:03:10+01:00,74.0
2015-07-29 19:02:10+01:00,69.5
2015-07-29 19:01:10+01:00,68.2
2015-07-29 19:00:10+01:00,76.4
2015-07-29 18:59:10+01:00,71.4
2015-07-29 18:58:10+01:00,65.0
2015-07-29 18:57:10+01:00,74.8
2015-07-29 18:56:10+01:00,72.8
2015-07-29 18:55:10+01:00,66.9
2015-07-29 18:54:10+01:00,68.8
2015-07-29 18:53:10+01:00,70.6
2015-07-29 18:52:10+01:00,71.8
2015-07-29 18:51:10+01:00,71.4
2015-07-29 18:50:10+01:00,70.6
2015-07-29 18:49:10+01:00,67.3
2015-07-29 18:48:10+01:00,66.8
2015-07-29 18:47:10+01:00,66.8
2015-07-29 18:46:10+01:00,67.8
2015-07-29 18:45:10+01:00,71.9
2015-07-29 18:44:10+01:00,66.2
2015-07-29 18:43:10+01:00,68.4
2015-07-29 18:42:10+01:00,66.2
2015-07-29 18:41:10+01:00,71.4
2015-07-29 18:40:10+01:00,70.2
2015-07-29 18:39:10+01:00,69.2
2015-07-29 18:38:10+01:00,64.6
2015-07-29 18:37:10+01:00,70.4
2015-07-29 18:36:10+01:00,64.8
2015-07-29 18:35:10+01:00,72.3
2015-07-29 18:34:10+01:00,71.4
2015-07-29 18:33:10+01:00,69.4
2015-07-29 18:32:10+01:00,69.7
2015-07-29 18:31:10+01:00,70.3
2015-07-29 18:30:10+01:00,68.9
2015-07-29 18:29:10+01:00,65.9
2015-07-29 18:28:10+01:00,65.6
2015-07-29 18:27:10+01:00,71.5
2015-07-29 18:26:10+01:00,68.4
2015-07-29 18:25:10+01:00,70.2
2015-07-29 18:24:10+01:00,65.1
2015-07-29 18:23:10+01:00,63.7
2015-07-29 18:22:10+01:00,67.5
2015-07-29 18:21:10+01:00,63.2
2015-07-29 18:20:10+01:00,67.5
2015-07-29 18:19:10+01:00,69.2
2015-07-29 18:18:10+01:00,71.7
2015-07-29 18:17:10+01:00,70.7
2015-07-29 18:16:10+01:00,68.2
2015-07-29 18:15:10+01:00,67.9
2015-07-29 18:14:10+01:00,70.7
2015-07-29 18:13:10+01:00,71.5
2015-07-29 18:12:10+01:00,63.5
2015-07-29 18:11:10+01:00,69.5
2015-07-29 18:10:10+01:00,70.0
2015-07-29 18:09:10+01:00,67.8
2015-07-29 18:08:10+01:00,74.6
2015-07-29 18:07:10+01:00,66.7
2015-07-29 18:06:10+01:00,66.4
2015-07-29 18:05:10+01:00,65.9
2015-07-29 18:04:10+01:00,71.8
2015-07-29 18:03:10+01:00,72.9
2015-07-29 18:02:10+01:00,64.7
2015-07-29 18:01:10+01:00,70.5
2015-07-29 18:00:10+01:00,63.8
2015-07-29 17:59:10+01:00,66.2
2015-07-29 17:58:10+01:00,71.0
2015-07-29 17:57:10+01:00,71.3
2015-07-29 17:56:10+01:00,67.0
2015-07-29 17:55:10+01:00,65.7
2015-07-29 17:54:10+01:00,67.4
2015-07-29 17:53:10+01:00,71.2
2015-07-29 17:52:10+01:00,65.0
2015-07-29 17:51:10+01:00,71.9
2015-07-29 17:50:10+01:00,74.3
2015-07-29 17:49:10+01:00,71.2
2015-07-29 17:48:10+01:00,67.9
2015-07-29 17:47:10+01:00,69.5
2015-07-29 17:46:10+01:00,68.2
2015-07-29 17:45:10+01:00,69.3
2015-07-29 17:44:10+01:00,71.1
2015-07-29 17:43:10+01:00,67.6
2015-07-29 17:42:10+01:00,75.5
2015-07-29 17:41:10+01:00,68.0
2015-07-29 17:40:10+01:00,68.0
2015-07-29 17:39:10+01:00,67.5
2015-07-29 17:38:10+01:00,65.8
2015-07-29 17:37:10+01:00,66.1
2015-07-29 17:36:10+01:00,64.9
2015-07-29 17:35:10+01:00,71.4
2015-07-29 17:34:10+01:00,69.1
2015-07-29 17:33:10+01:00,69.4
2015-07-29 17:32:10+01:00,65.1
2015-07-29 17:31:10+01:00,70.0
2015-07-29 17:30:10+01:00,71.7
2015-07-29 17:29:10+01:00,63.7
2015-07-29 17:28:10+01:00,67.4
2015-07-29 17:27:10+01:00,69.4
2015-07-29 17:26:10+01:00,66.9
2015-07-29 17:25:10+01:00,70.7
2015-07-29 17:24:10+01:00,69.5
2015-07-29 17:23:10+01:00,65.9
2015-07-29 17:22:10+01:00,69.0
2015-07-29 17:21:10+01:00,70.5
2015-07-29 17:20:10+01:00,67.9
2015-07-29 17:19:10+01:00,68.2
2015-07-29 17:18:10+01:00,69.8
2015-07-29 17:17:10+01:00,69.5
2015-07-29 17:16:10+01:00,66.3
2015-07-29 17:15:10+01:00,68.7
2015-07-29 17:14:10+01:00,66.7
2015-07-29 17:13:10+01:00,65.4
2015-07-29 17:12:10+01:00,69.9
2015-07-29 17:11:10+01:00,73.3
2015-07-29 17:10:10+01:00,66.1
2015-07-29 17:09:10+01:00,69.7
2015-07-29 17:08:10+01:00,73.2
2015-07-29 17:07:10+01:00,65.2
